rxcui	ndcs
1549682	[]
1432508	['63981070181']
1366501	['37000041472', '68391047272', '68391049072', '68391074472', '68391085072']
1005831	['23594050548']
1005830	[]
845493	[]
763183	['00591544243', '00603533831', '70954005940']
845491	[]
763179	['00591505243', '00603533731', '70954005840']
900175	[]
978949	['00781411015', '00781411052']
978950	['50419040900', '50419040901', '50419040903', '50419040970', '50419040973', '50419040976']
1359132	[]
1359133	['00430000531', '00430057014']
1359134	['51862028401', '51862028403']
1359135	['00555903270']
762667	[]
833151	['00456150055']
833150	[]
794246	[]
761979	[]
759481	['68047070251']
797023	['00095008851']
895525	[]
834036	[]
966432	[]
966421	[]
966424	[]
966427	[]
966430	[]
966431	[]
966418	[]
1661560	['00078063020', '00078063056']
1661559	[]
795735	['00069046903', '00069046912', '71205038156']
749788	[]
1650282	['44087018801']
1650268	[]
795749	['44087882201']
758030	[]
1872983	[]
794080	[]
793770	[]
794073	[]
825170	['00074433906', '00074433973']
1656703	[]
1594352	['00074379906']
825169	[]
1302760	['50844052902', '50844052908']
1428880	['00067640312', '00363110212', '00363111955', '11673054212', '59779065455', '59779066112']
847735	[]
1102207	['50967012630']
1102202	[]
749782	[]
750149	['00069306075', '52959050506']
749783	['00093714609', '00378153383', '00527237020', '00527237072', '00781149668', '00781577626', '00781808926', '16571069516', '16571069581', '33261013906', '33261040301', '33358004006', '35356070406', '43353069306', '45865064106', '46708005706', '50090178800', '50090178801', '50090472000', '50090472001', '50111078751', '50111078766', '50436149601', '50436435701', '51224002206', '51224002218', '51655089787', '52959083806', '53217017301', '53217026301', '53217032701', '55695002800', '55700020606', '55700035106', '55700043206', '55700043266', '55700085206', '55700085906', '57297016013', '59762219801', '59762219803', '59762306001', '60505258100', '60505258102', '61919017006', '61919026006', '61919036206', '62332025106', '62980096105', '63187000706', '63187016906', '63187028406', '63187060406', '63629267301', '64679096104', '64679096105', '65862064163', '65862064169', '66116041806', '66116050906', '67296019201', '68071132306', '68071478606', '68071523806', '68180016011', '68180016013', '68387056506', '68788765406', '68788765906', '69306025006', '69452017104', '69452017173', '69677012906', '70518078400', '70518078401', '70518078402', '70518078403', '70518080300', '70882010706', '71205042406', '71205042706', '71205043006', '71610000106', '71610038106', '72189008906', '72189009306', '76413010206', '76420000606']
1148107	[]
795713	[]
748832	['57297085711', '57297085713', '57994000890', '68180085711', '68180085713', '70700010484', '70700010485', '70700010486']
761977	['00555904758']
1095227	['16714034001', '16714034002', '16714034003', '16714034004']
1241901	['00603762501', '00603762517', '00603762549', '76413011628']
762332	[]
749565	[]
748865	['51862051001', '51862051006', '53002156601', '53002156603', '53002156606']
748866	[]
748867	[]
795861	[]
795860	[]
795857	[]
795856	[]
904808	[]
851209	[]
851210	[]
851211	[]
851212	['58809068060']
795871	[]
763278	[]
795712	['10337080206']
757466	[]
852869	[]
795883	[]
795878	[]
1604352	['62856072405', '62856072430']
1604395	['62856072005', '62856072030']
1604351	[]
1604394	[]
1796665	['62856070805', '62856070830']
1796664	[]
1862102	['47918090218']
1862101	[]
1544569	['47918088463']
1544568	[]
1873995	['00078087421', '00078087463', '00078090221']
1873994	[]
1858971	['00456122929']
1858970	[]
900891	['00173076000']
900890	[]
996633	['00456340029']
996624	[]
759742	[]
834768	['51862023801', '51862023803', '53002162801', '53002162803', '53002162806']
761973	[]
761974	['76388028301']
762334	['00555905167', '00555905179']
1373503	['00378731685', '51862048965']
1874537	['68180086011', '68180086012', '68180086013']
1373504	['51285043165', '51285043187']
1876397	['00093603182', '00093603191']
810096	['00378728485', '00378728490', '57297084811', '57297084813', '68180084811', '68180084813']
1244632	['51862004501', '51862004591']
1235267	['00093614882', '00093614891']
810097	['51285009282', '51285009287']
749761	['00378728585', '00378728590']
1112687	['51862004701', '51862004791']
1603861	['68462064691', '68462064693']
1149667	['00093313482', '00093313491']
1423123	['68180084611', '68180084613']
749762	['51285008782', '51285008787']
749157	['00378727753', '00378727785', '42291056528', '42291056584', '50090373300', '68462071929', '68462071984']
749158	['50458025100', '50458025106', '50458025115', '50458025128']
1722676	['00781406215', '70700012084', '70700012085']
1305757	['57297083711', '57297083713', '63187075428', '68180083711', '68180083713', '68180083771', '68180083773']
856467	['00093214028', '00093214062', '50090232600', '68788703602', '71205028728']
856466	[]
1728768	['52544008728', '52544008741', '53002145401', '53002145403', '53002145406']
761998	[]
761999	[]
749852	[]
1242787	['50090147800', '53002173401', '53002173403', '53002173406', '68462055629', '68462055684']
1047041	['00603752501', '00603752517', '00603752549', '76413010428']
1235867	['16714034601', '16714034602', '16714034603', '16714034604']
750264	['52544016528', '52544016541']
762007	['00555901258', '00555901279']
749853	['50458017800', '50458017806', '50458017815', '50458017820', '50458017828']
1427301	['68180089211', '68180089213', '68180089271', '68180089273', '76413015028']
749854	[]
749855	[]
749784	['00378729353', '00378729385', '17478026106', '17478026128', '33261012001', '42291059028', '42291059084', '68180083811', '68180083813', '68180083871', '68180083873', '68462056529', '68462056584', '71205017028', '71205019128']
749785	['50458019100', '50458019120', '50458019128']
1862600	['50090323900', '50090341300', '69238160706']
1369770	['00781406015', '70700012184', '70700012185']
1311535	['16714036301', '16714036302', '16714036303', '16714036304']
1800500	['65862077728', '65862077785', '65862077786', '65862077787', '65862077788', '65862077792']
753479	['00254203080', '00254203091', '00603766301', '00603766317', '53002130401', '53002130403', '53002130406']
762333	['00555901858', '63187045828', '66116043628', '68788632502', '70518084200', '76413012828']
