"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0058","04H002Z","10000",1,0,0,0,0
"0058","04H042Z","10000",1,0,0,0,0
"0058","02HW30Z","10000",1,0,0,0,0
"0058","02HW00Z","10000",1,0,0,0,0
"0058","02HW40Z","10000",1,0,0,0,0
"00581","A055","00000",0,0,0,0,0
"00589","A054","10000",1,0,0,0,0
"00589","A058","10000",1,0,0,0,0
"0059","4A033BC","10000",1,0,0,0,0
"0059","A059","00000",0,0,0,0,0
"0059","4A130BC","10000",1,0,0,0,0
"0059","4A030BC","10000",1,0,0,0,0
"0059","4A133BC","10000",1,0,0,0,0
"0060","A060","00000",0,0,0,0,0
"0060","NoPCS","11000",1,1,0,0,0
"0061","03CN3ZZ","10000",1,0,0,0,0
"0061","037P4DZ","10000",1,0,0,0,0
"0061","037K3DZ","10000",1,0,0,0,0
"0061","037M4ZZ","10000",1,0,0,0,0
"0061","037N3ZZ","10000",1,0,0,0,0
"0061","057S3DZ","10000",1,0,0,0,0
"0061","037M44Z","10000",1,0,0,0,0
"0061","037P3ZZ","10000",1,0,0,0,0
"0061","037Q3ZZ","10000",1,0,0,0,0
"0061","037L4DZ","10000",1,0,0,0,0
"0061","057M3DZ","10000",1,0,0,0,0
"0061","037H3DZ","10000",1,0,0,0,0
"0061","037L44Z","10000",1,0,0,0,0
"0061","03CQ3ZZ","10000",1,0,0,0,0
"0061","037P3DZ","10000",1,0,0,0,0
"0061","057P3DZ","10000",1,0,0,0,0
"0061","057R4DZ","10000",1,0,0,0,0
"0061","037K4DZ","10000",1,0,0,0,0
"0061","057P4DZ","10000",1,0,0,0,0
"0061","037L3ZZ","10000",1,0,0,0,0
"0061","037N4DZ","10000",1,0,0,0,0
"0061","037P44Z","10000",1,0,0,0,0
"0061","03CJ3ZZ","10000",1,0,0,0,0
"0061","037K44Z","10000",1,0,0,0,0
"0061","037Q3DZ","10000",1,0,0,0,0
"0061","037M34Z","10000",1,0,0,0,0
"0061","037H4ZZ","10000",1,0,0,0,0
"0061","037Q4ZZ","10000",1,0,0,0,0
"0061","03CM3ZZ","10000",1,0,0,0,0
"0061","057R3DZ","10000",1,0,0,0,0
"0061","037K3ZZ","10000",1,0,0,0,0
"0061","037K4ZZ","10000",1,0,0,0,0
"0061","057Q4DZ","10000",1,0,0,0,0
"0061","037P34Z","10000",1,0,0,0,0
"0061","037N44Z","10000",1,0,0,0,0
"0061","037Q34Z","10000",1,0,0,0,0
"0061","037J3ZZ","10000",1,0,0,0,0
"0061","057S4DZ","10000",1,0,0,0,0
"0061","037M3DZ","10000",1,0,0,0,0
"0061","057N4DZ","10000",1,0,0,0,0
"0061","037J34Z","10000",1,0,0,0,0
"0061","03CL3ZZ","10000",1,0,0,0,0
"0061","A061","00000",0,0,0,0,0
"0061","037Q4DZ","10000",1,0,0,0,0
"0061","037L4ZZ","10000",1,0,0,0,0
"0061","057N3DZ","10000",1,0,0,0,0
"0061","03CP3ZZ","10000",1,0,0,0,0
"0061","037J4ZZ","10000",1,0,0,0,0
"0061","03CK3ZZ","10000",1,0,0,0,0
"0061","037H44Z","10000",1,0,0,0,0
"0061","037H4DZ","10000",1,0,0,0,0
"0061","057T3DZ","10000",1,0,0,0,0
"0061","057T4DZ","10000",1,0,0,0,0
"0061","03CH3ZZ","10000",1,0,0,0,0
"0061","037P4ZZ","10000",1,0,0,0,0
"0061","037N3DZ","10000",1,0,0,0,0
"0061","037L3DZ","10000",1,0,0,0,0
"0061","037M4DZ","10000",1,0,0,0,0
"0061","037H34Z","10000",1,0,0,0,0
"0061","037N34Z","10000",1,0,0,0,0
"0061","057M4DZ","10000",1,0,0,0,0
"0061","037L34Z","10000",1,0,0,0,0
"0061","037N4ZZ","10000",1,0,0,0,0
"0061","037J3DZ","10000",1,0,0,0,0
"0061","037M3ZZ","10000",1,0,0,0,0
"0061","037J44Z","10000",1,0,0,0,0
"0061","037H3ZZ","10000",1,0,0,0,0
"0061","057Q3DZ","10000",1,0,0,0,0
"0061","037J4DZ","10000",1,0,0,0,0
"0061","037K34Z","10000",1,0,0,0,0
"0061","037Q44Z","10000",1,0,0,0,0
"0062","037G44Z","10000",1,0,0,0,0
"0062","057L3DZ","10000",1,0,0,0,0
"0062","037G3ZZ","10000",1,0,0,0,0
"0062","A062","00000",0,0,0,0,0
"0062","03CG3ZZ","10000",1,0,0,0,0
"0062","037G3DZ","10000",1,0,0,0,0
"0062","037G4ZZ","10000",1,0,0,0,0
"0062","037G34Z","10000",1,0,0,0,0
"0062","037G4DZ","10000",1,0,0,0,0
"0062","057L4DZ","10000",1,0,0,0,0
"0063","NoPCS","11000",1,1,0,0,0
"0063","A064","00000",0,0,0,0,0
"0064","NoPCS","11000",1,1,0,0,0
"0064","A065","00000",0,0,0,0,0
"0065","A066","00000",0,0,0,0,0
"0065","NoPCS","11000",1,1,0,0,0
"0066","02714ZZ","10000",1,0,0,0,0
"0066","02704ZZ","10000",1,0,0,0,0
"0066","02733ZZ","10000",1,0,0,0,0
"0066","02713ZZ","10000",1,0,0,0,0
"0066","02723ZZ","10000",1,0,0,0,0
"0066","02703ZZ","10000",1,0,0,0,0
"0066","02734ZZ","10000",1,0,0,0,0
"0066","02724ZZ","10000",1,0,0,0,0
"0066","A067","00000",0,0,0,0,0
"0067","4A030BF","10000",1,0,0,0,0
"0067","4A033BF","10000",1,0,0,0,0
"0068","4A033B1","10000",1,0,0,0,0
"0068","4A030B1","10000",1,0,0,0,0
"0068","A0689","10000",1,0,0,0,0
"0069","4A043B3","10000",1,0,0,0,0
"0069","4A040B3","10000",1,0,0,0,0
"0069","4A040B1","10000",1,0,0,0,0
"0069","4A140B1","10000",1,0,0,0,0
"0069","4A043B1","10000",1,0,0,0,0
"0069","4A143B1","10000",1,0,0,0,0
"0069","4A140B3","10000",1,0,0,0,0
"0069","A069","00000",0,0,0,0,0
"0069","4A143B3","10000",1,0,0,0,0
"0070","0SR903A","10111",1,0,1,1,1
