routecode	routecodeHier	formcode	formcodeHier	Route|FORM
3165	0: 3165~1: P.Z	50493	0: 50493~1: INH	Unknown
3165	0: 3165~1: P.Z	69808	0: 69808~1: I.V	Unknown
3165	0: 3165~1: P.Z	50498	0: 50498~1: UNG	Unknown
3165	0: 3165~1: P.Z	50496	0: 50496~1: LOZ	P.Z|TAB
3165	0: 3165~1: P.Z	50497	0: 50497~1: OINT	Unknown
3166	0: 3166~1: SKIN	50488	0: 50488~1: CRM	SKIN|PAT
3166	0: 3166~1: SKIN	Null	None	SKIN|CRM
3166	0: 3166~1: SKIN	50497	0: 50497~1: OINT	SKIN|CRM
3166	0: 3166~1: SKIN	50501	0: 50501~1: SOL	SKIN|CRM
3166	0: 3166~1: SKIN	50486	0: 50486~1: AMP	SKIN|CRM
3166	0: 3166~1: SKIN	50498	0: 50498~1: UNG	SKIN|CRM
3166	0: 3166~1: SKIN	50495	0: 50495~1: LIQ	SKIN|CRM
3166	0: 3166~1: SKIN	50492	0: 50492~1: GEL	SKIN|CRM
